Quarter,Monthly Wage
2010-Q1,4497.099016782926
2010-Q2,4504.512960308505
2010-Q3,4318.655957995662
2010-Q4,4169.401029553664
2011-Q1,4277.819376370631
2011-Q2,4120.119249239296
2011-Q3,4279.173757398545
2011-Q4,4024.623104885886
2012-Q1,4300.954611615172
2012-Q2,4397.1250228553035
2012-Q3,3964.3292024190278
2012-Q4,3982.1542509053984
2013-Q1,4151.144543419917
2013-Q2,4003.9088592328003
2013-Q3,3927.8154508311236
2013-Q4,3977.879083533863
2014-Q1,4054.3927538978287
2014-Q2,3942.0653171009762
2014-Q3,3926.67808980595
2014-Q4,3914.212198435862
2015-Q1,4054.5755519937497
2015-Q2,4050.6480809351733
2015-Q3,4101.008577114659
2015-Q4,4091.410440913077
2016-Q1,4224.336507316054
2016-Q2,4217.045496210681
2016-Q3,4229.198977725231
2016-Q4,4240.543390531719
2017-Q1,4314.884094068371
2017-Q2,4312.328490400683
2017-Q3,4187.703919115939
2017-Q4,4218.8281288025355
2018-Q1,4409.566965497502
2018-Q2,4402.067759781366
2018-Q3,4379.768739133463
2018-Q4,4394.688543336125
2019-Q1,4665.104818871565
2019-Q2,4688.870562448175
2019-Q3,4691.5536596289585
2019-Q4,4860.776526306542
2020-Q1,5221.852435552569
2020-Q3,4794.385109982365
2020-Q4,5022.790319485693
